time,query,chunks_cnt,latency_ms,answer
2026-05-27 18:05:21,农业病虫害化学防治过程中，为避免害虫产生抗药性、保障用药安全，需遵守哪些核心规范要求？,3,3233,"根据参考资料，农业病虫害化学防治过程中，为避免害虫产生抗药性、保障用药安全，需遵守以下核心规范要求：

1. 达标用药：仅在病虫害密度达到经济阈值时启动防治，避免盲目施药。
2. 低毒药剂轮换使用：选用低毒药剂并轮换使用，以延缓抗药性产生。
3. 避开高温施药：避免在高温条件下施药，减少药害和挥发风险。
4. 使用具备正规三证的合格农药：确保农药来源合法、质量可靠。
5. 严格按剂量施用，不擅自加大药量：防止过量用药导致抗药性和残留问题。
6. 严守安全间隔期：保证末次施药到作物采收的间隔天数符合规定，确保农残达标。
7. 统一回收农药废弃物：保护田间与水域生态，避免环境污染。

（来源：./data/pest_control.pdf，第0-1页）"
2026-05-27 18:07:10,你是做什么的,3,778,根据现有资料无法回答该问题。
2026-05-27 18:15:37,喜欢爸爸还是喜欢妈妈,3,856,根据现有资料无法回答该问题。
2026-05-27 18:28:18,依据IPM有害生物综合治理原则，田间病虫害为何需按照经济阈值开展达标防治，不能见虫就防？,3,2853,根据IPM综合治理原则，田间病虫害需按照经济阈值开展达标防治，是因为经济阈值是“病虫密度达造成经济损失，需启动防治的临界值”（来源第0页）。IPM的核心目标是“多措并举，将病虫控制在危害标准之下”（来源第0页），而非彻底消灭所有有害生物。若“见虫就防”，可能导致不必要的化学药剂使用，增加成本、破坏生态平衡，并违背IPM“达标用药、低毒药剂轮换使用”的科学防治要求（来源第0页）。因此，只有当病虫密度超过经济阈值、可能造成经济损失时，才启动防治措施，以实现经济、生态和安全的综合效益。
2026-05-27 18:35:43,如何防治玉米螟,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",909,根据现有资料无法回答该问题。
2026-05-27 18:35:51,依据IPM有害生物综合治理原则，田间病虫害为何需按照经济阈值开展达标防治，不能见虫就防？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",962,根据现有资料无法回答该问题。
2026-05-27 18:36:05,农业病虫害化学防治过程中，为避免害虫产生抗药性、保障用药安全，需遵守哪些核心规范要求？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",2819,"根据参考资料，农业病虫害化学防治过程中需遵守以下核心规范要求：

1. 达标用药、低毒药剂轮换使用（来源：Chunk-1，第4节“化学防治”）。
2. 仅使用具备正规三证的合格农药（来源：Chunk-1，第5节；Chunk-2，第1条）。
3. 严格按剂量施用，不擅自加大药量（来源：Chunk-2，第2条）。
4. 严守安全间隔期，保证农残达标（来源：Chunk-3，第3条）。
5. 统一回收农药废弃物，保护田间与水域生态（来源：Chunk-3，第4条）。"
2026-05-27 18:36:30,农业病虫害化学防治过程中，为避免害虫产生抗药性、保障用药安全，需遵守哪些核心规范要求？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",2266,"根据参考资料，农业病虫害化学防治过程中，为避免害虫产生抗药性、保障用药安全，需遵守以下核心规范要求：

1. 达标用药、低毒药剂轮换使用，避开高温施药（来源：Chunk-1，第4节“化学防治”）。
2. 仅使用具备正规三证的合格农药（来源：Chunk-1，第5节；Chunk-2，第1条）。
3. 严格按剂量施用，不擅自加大药量（来源：Chunk-2，第2条）。
4. 严守安全间隔期，保证农残达标（来源：Chunk-3，第3条）。
5. 统一回收农药废弃物，保护田间与水域生态（来源：Chunk-3，第4条）。"
2026-05-27 18:52:00, 喜欢爸爸还是喜欢妈妈,False,1,"5农药安全合规要求
1.仅使⽤具备正规三证的合格农药
2.严格按剂量施⽤，不擅⾃加⼤药量",982,根据现有资料无法回答该问题。
2026-05-27 20:01:58,吉林玉米种植中，玉米螟 如何防治？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",1250,根据现有资料无法回答该问题。参考资料中未提及玉米螟的具体防治方法。
2026-05-27 20:01:59,吉林玉米种植中，大斑病 如何防治？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",1239,根据现有资料无法回答该问题。参考资料中未提及玉米大斑病的具体防治方法。
2026-05-27 20:02:00,吉林玉米种植中，粘虫 如何防治？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",822,根据现有资料无法回答该问题。
2026-05-27 20:43:36,吉林玉米种植中，玉米螟 如何防治？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",1101,根据现有资料无法回答该问题。参考资料中未提及玉米螟的具体防治方法。
2026-05-27 20:43:37,吉林玉米种植中，大斑病 如何防治？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",1139,根据现有资料无法回答该问题。参考资料中未提及玉米大斑病的具体防治方法。
2026-05-27 20:43:39,吉林玉米种植中，粘虫 如何防治？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",1341,根据现有资料无法回答该问题。参考资料中未提及吉林玉米种植中粘虫的具体防治方法。
2026-05-30 18:05:32,喜欢爸爸还是喜欢妈妈,False,1,"5农药安全合规要求
1.仅使⽤具备正规三证的合格农药
2.严格按剂量施⽤，不擅⾃加⼤药量",1110,根据现有资料无法回答该问题。
2026-05-30 18:09:38,吉林玉米种植中，玉米螟 如何防治？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",976,根据现有资料无法回答该问题。参考资料中未提及玉米螟的具体防治方法。
2026-05-30 18:09:39,吉林玉米种植中，大斑病 如何防治？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",943,根据现有资料无法回答该问题。参考资料中未提及玉米大斑病的具体防治方法。
2026-05-30 18:09:39,吉林玉米种植中，粘虫 如何防治？,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",706,根据现有资料无法回答该问题。参考资料中未提及吉林玉米种植中粘虫的具体防治方法。
2026-05-30 18:16:21,玉米螟这么防治,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",825,根据现有资料无法回答该问题。参考资料中未提及玉米螟的具体防治方法。
2026-05-30 18:16:26,你会什么,False,1,"（注：⽂档部分内容可能由AI⽣成）
3.严守安全间隔期，保证农残达标
4.统⼀回收农药废弃物，保护⽥间与⽔域⽣态",789,根据现有资料无法回答该问题。
2026-05-30 18:16:58,什么是病虫害,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",1049,根据参考资料，病虫害是指侵害作物的虫螨、病菌、杂草、鼠类等有害生物。
2026-05-30 18:17:35,病⾍害四类分类,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",1364,"根据参考资料，病虫害四类分类为：
1. 昆虫类：咀嚼式、刺吸式、钻蛀性害虫
2. 病害类：真菌、细菌、病毒性病害
3. 杂草类：禾本科、阔叶、莎草科杂草
4. 其他：线虫、鼠类、蜗牛、蛞蝓"
2026-05-30 18:17:48,监测预警,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",1392,"根据参考资料，监测预警包括以下内容：

1. 田间采用五点、对角线、Z字形取样调查。
2. 生长期5-7天巡查一次，高发期2-3天一次。
3. 借助诱捕器、杀虫灯、色板监测病虫数量，预判爆发趋势。"
2026-06-01 20:34:41,1,False,1,"农业病⾍害防治技术规程（1-5章节精简提炼）
⽂档编号：AG-PC-2023-V1.0
适⽤：⼤⽥、果树、蔬菜作物
1术语定义
1.病⾍害：侵害作物的⾍螨、病",880,根据现有资料无法回答该问题。
